ID	R_LOFC	R_OIFG	R_MOFC	R_PTRI	R_POPE	R_RMFG	R_SFG	R_CMFG	R_PREC	R_PRCL	R_RCIN	R_CCIN	R_PCIN	R_ICIN	R_PSTCG	R_SPMG	R_SPL	R_IPL	R_PCUN	R_CUNE	R_CALS	R_LOS	R_LING	R_FUSI	R_PHIP	R_ENTO	R_ITG	R_MTG	R_STG	R_TTG	R_INSU	R_THAL	R_CAUD	R_PUTA	R_PALL	R_ACMB	R_HIPP	R_AMYG	L_LOFC	L_OIFG	L_MOFC	L_PTRI	L_POPE	L_RMFG	L_SFG	L_CMFG	L_PREC	L_PRCL	L_RCIN	L_CCIN	L_PCIN	L_ICIN	L_PSTCG	L_SPMG	L_SPL	L_IPL	L_PCUN	L_CUNE	L_CALS	L_LOS	L_LING	L_FUSI	L_PHIP	L_ENTO	L_ITG	L_MTG	L_STG	L_TTG	L_INSU	L_THAL	L_CAUD	L_PUTA	L_PALL	L_ACMB	L_HIPP	L_AMYG	BSTM	eTIV
d20	8712.0	2238.0	3988.0	4808.0	5560.0	11220.0	27200.0	6750.0	12111.0	3288.0	2433.0	1846.0	3521.0	3280.0	11599.0	12171.0	12240.0	15517.0	12160.0	4748.0	2497.0	13199.0	6600.0	8172.0	2194.0	1590.0	12917.0	15996.0	15423.0	1238.0	7037.0	8288.1	3623.3	4843.5	2361.5	324.9	4703.4	1391.1	8963.0	2016.0	3791.0	4056.0	4254.0	11065.0	26031.0	5965.0	13565.0	4361.0	3440.0	2756.0	3447.0	3060.0	12428.0	11639.0	11158.0	13605.0	11442.0	4319.0	1943.0	12553.0	6129.0	7857.0	1975.0	1603.0	11361.0	13059.0	17111.0	2266.0	6519.0	8635.0	3967.6	5149.0	2079.7	284.3	4137.2	1606.2	21811.7	1589780.665555
d21	9897.0	2688.0	4527.0	4875.0	3972.0	14252.0	29960.0	5982.0	14579.0	4574.0	2967.0	1898.0	3652.0	2665.0	10160.0	11785.0	16266.0	15213.0	12367.0	4758.0	1955.0	13858.0	6622.0	9451.0	1925.0	1627.0	11776.0	14996.0	17005.0	1147.0	7098.0	8317.1	3373.9	5230.3	2356.5	415.2	4313.6	1597.7	9805.0	2532.0	4901.0	4253.0	4004.0	13520.0	25793.0	7356.0	16427.0	4180.0	4450.0	3880.0	3690.0	3244.0	12833.0	13769.0	13821.0	13240.0	12865.0	4449.0	1915.0	11351.0	5478.0	9482.0	2036.0	1524.0	10664.0	15648.0	18202.0	1146.0	6844.0	9022.4	3076.8	5152.5	2328.6	277.8	4216.2	1354.2	23712.2	1554182.464794
d22	7606.0	1806.0	4316.0	4270.0	4774.0	11764.0	23855.0	7228.0	12834.0	3992.0	3341.0	3146.0	4303.0	2626.0	10403.0	9171.0	12267.0	17600.0	10255.0	3742.0	2715.0	13823.0	7297.0	10209.0	1677.0	1646.0	11456.0	13683.0	15661.0	963.0	6314.0	6611.9	3391.0	4490.0	1869.1	385.4	3734.0	1622.9	7577.0	1663.0	3977.0	4458.0	3659.0	12630.0	23078.0	7272.0	13512.0	4262.0	3904.0	2882.0	3300.0	2845.0	10436.0	10182.0	11103.0	12376.0	10099.0	4214.0	2343.0	12357.0	7723.0	10081.0	1633.0	1462.0	11160.0	14271.0	17167.0	1091.0	5975.0	6220.1	3564.0	5218.2	2147.4	286.1	3471.9	1415.8	19489.4	1506072.812326
d23	7814.0	1722.0	4001.0	4684.0	4752.0	9721.0	26164.0	6062.0	14141.0	4266.0	1899.0	2667.0	3245.0	1967.0	10229.0	9655.0	12342.0	12272.0	11809.0	4125.0	2284.0	13091.0	5854.0	8689.0	1842.0	2195.0	15232.0	12568.0	16553.0	992.0	6432.0	7898.0	3762.7	4593.7	2300.1	455.4	4290.2	1741.4	8929.0	2039.0	5291.0	4152.0	4112.0	12272.0	21701.0	5784.0	13492.0	4106.0	3913.0	3297.0	2997.0	2485.0	10006.0	10977.0	9775.0	14622.0	10470.0	4056.0	1704.0	12672.0	5956.0	8123.0	1982.0	2117.0	13444.0	12664.0	18624.0	1146.0	5990.0	8230.7	3433.5	4565.5	2001.5	285.0	4037.4	1556.8	27292.6	1705862.954363
d24	8364.0	2242.0	4629.0	4639.0	5792.0	11570.0	27148.0	7655.0	13623.0	4927.0	2399.0	2249.0	2636.0	2809.0	11591.0	11142.0	12657.0	14783.0	12101.0	6441.0	3083.0	14551.0	8744.0	8899.0	2198.0	1692.0	11504.0	13093.0	15985.0	970.0	5917.0	7694.4	3293.5	4977.2	2094.7	516.8	4379.6	1726.0	8865.0	1949.0	4626.0	4132.0	5598.0	12129.0	24001.0	7390.0	13623.0	4871.0	3768.0	3746.0	3413.0	2753.0	13368.0	11507.0	13223.0	12917.0	11874.0	6336.0	2903.0	13883.0	7831.0	8399.0	2110.0	1465.0	9815.0	13242.0	16515.0	1189.0	5673.0	7990.8	3253.2	4882.8	2086.7	337.1	3764.3	1524.3	23645.1	1773365.234623
d25	8370.0	2156.0	3560.0	3976.0	3959.0	10808.0	23481.0	6024.0	11695.0	4054.0	2158.0	2006.0	3076.0	2185.0	8408.0	8767.0	10366.0	13141.0	10118.0	3835.0	1850.0	10964.0	6457.0	7713.0	1648.0	1364.0	10997.0	11257.0	14698.0	918.0	5862.0	7444.8	3454.3	3896.6	1943.1	430.4	3797.3	1315.3	8405.0	2201.0	3845.0	4473.0	3745.0	9368.0	19190.0	7731.0	12531.0	3719.0	3461.0	2565.0	3236.0	2782.0	8892.0	9916.0	10268.0	11233.0	9489.0	3607.0	2126.0	10688.0	5525.0	7044.0	1950.0	1734.0	10674.0	11719.0	15138.0	1083.0	5526.0	8050.7	3388.8	3811.3	2053.6	225.1	3086.3	1175.9	17260.7	1355047.190751
d27	8190.0	1939.0	3885.0	4372.0	4598.0	10048.0	27966.0	6103.0	14658.0	4280.0	2340.0	2655.0	3801.0	2274.0	11871.0	8951.0	9245.0	15586.0	10288.0	3778.0	1781.0	11577.0	7911.0	6776.0	2274.0	2122.0	11561.0	13035.0	16000.0	890.0	6524.0	7779.8	3050.6	4813.8	2302.0	320.2	4266.5	1829.9	8417.0	2100.0	4469.0	4950.0	4750.0	11661.0	23033.0	6987.0	13749.0	3645.0	3583.0	3612.0	4068.0	2324.0	12008.0	9366.0	9043.0	11023.0	8988.0	4808.0	1364.0	13330.0	6471.0	8479.0	2276.0	1935.0	11276.0	11558.0	17991.0	1458.0	6573.0	7880.0	2923.8	4820.7	2664.5	149.2	3925.2	1275.4	22111.1	1493137.94348
d28	7667.0	1936.0	3931.0	4347.0	4345.0	11400.0	23870.0	6185.0	13837.0	4115.0	2569.0	2352.0	3007.0	3002.0	11230.0	10386.0	12241.0	17371.0	11858.0	3929.0	2538.0	11727.0	5303.0	8780.0	1826.0	1365.0	12042.0	12283.0	15212.0	1157.0	6401.0	7538.3	3681.4	4612.7	2073.3	320.7	4048.2	1659.1	8395.0	1997.0	4493.0	4990.0	4564.0	10713.0	21768.0	7075.0	14475.0	5006.0	3155.0	2899.0	3792.0	2724.0	10657.0	13759.0	12788.0	13379.0	10335.0	4578.0	1855.0	12311.0	5059.0	8060.0	1711.0	1498.0	11652.0	12769.0	16555.0	1306.0	6381.0	7747.1	3610.3	4801.3	2067.2	244.6	4082.0	1428.8	20500.9	1633770.695461
d29	9013.0	1811.0	4365.0	4325.0	4258.0	11781.0	26683.0	5382.0	13102.0	4781.0	2798.0	2830.0	4680.0	2594.0	9828.0	9261.0	11472.0	14337.0	11650.0	3667.0	1711.0	12034.0	7137.0	7562.0	2297.0	1950.0	12709.0	13557.0	16224.0	921.0	6072.0	7279.1	3171.0	4336.3	1991.0	456.8	4229.2	1428.6	8614.0	2210.0	4833.0	3413.0	4719.0	10630.0	23830.0	6679.0	14315.0	4398.0	4104.0	4006.0	3783.0	3369.0	11386.0	9388.0	10961.0	12821.0	10312.0	3519.0	1792.0	10821.0	5655.0	7728.0	2273.0	2081.0	13936.0	16380.0	16051.0	1056.0	6051.0	7136.3	3376.6	4430.1	1937.5	327.8	4249.0	1458.5	19966.2	1593626.232961
d30	5314.0	1513.0	2152.0	2778.0	1974.0	8838.0	19514.0	4918.0	8947.0	2646.0	887.0	1377.0	1512.0	324.0	9736.0	6624.0	8179.0	7538.0	4166.0	4035.0	1435.0	6675.0	1452.0	3735.0	1994.0	1570.0	5405.0	5117.0	10764.0	441.0	2063.0	6382.1	2952.3	4180.0	2164.8	279.5	3251.0	1514.4	5619.0	1892.0	2507.0	2357.0	1511.0	9430.0	19204.0	4647.0	7586.0	2284.0	1472.0	1648.0	1552.0	1514.0	9081.0	4949.0	8628.0	8195.0	4338.0	2002.0	875.0	5963.0	2398.0	4080.0	1705.0	1173.0	5975.0	5087.0	7791.0	483.0	1685.0	6855.6	3314.5	4313.9	1756.6	158.4	3115.9	1239.7	17456.0	1419082.161608
